Day,Trip,TripStatus,StartTime,EndTime,Type,Event,TypeOfEvent,Level,Site,SiteRoom,Leader1,Leader2,Leader3,Leader4, FeeRequired,FEE,TransportNeeded,Transportation,MaxAttendees,SecondaryStatus,MultiEvent,MultiEventCode,Program
"Friday","101","Retain",06:45:00,14:30:00,"Field Trip","Casual | Little Big Day ","Birding","","Community Center","","Maggie Smith","Herb Elliott","","","Yes",$60.00,"Yes","Van",14,"SOLID","Yes","CLBD1","Join | Maggie Smith and Herb Elliott for a tour of many local birding hot spots. Expect nearly 100 species, including specialties and rarities, with time to discuss the birds and savor them a bit. Travel with leader in van. Bring lunch. Easy but many in/out of van stops. Same as event #301."
"Friday","102","Retain",06:45:00,16:00:00,"Field Trip","Big Day ","Birding","","Community Center","","Ron Melcer","Karl Frank","","","Yes",$70.00,"Yes","Van",20,"SOLID","Yes","BD1","See loons to sparrows with Ron Melcer and Karl Frank on this full day of birding the area. Pace to be determined by the leader based on the desires of the group, but expect a rather fast-paced day, seeing over 100 species including specialties and rarities. Travel with leader in van. Bring lunch. Easy but many in/out of van stops. Same as event #205."
"Friday","104","Retain",07:00:00,12:00:00,"Field Trip","Hiking Half Day in Morro Bay State Park ","Birding","","State Park Marina","","Mike Stiles","","","","No",,"No","None",12,"SOLID","No","","Take a walking tour of the area around the Morro Bay Museum. Walk about 2.5 miles with Mike Stiles and cover a variety of habitats. You'll view shorebirds around the marina and the edges of Morro Bay and scope waterfowl on the bay. You will visit the Morro Bay State Park Campground, the golf course and the Heron Rookery. Walking will be slow-paced with many stops on mostly level terrain. Expect good numbers of our local specialties. Meet at the State Park Marina near the Bayside Café. Bring a day pack, snacks and water; wear layered clothing and comfortable walking shoes. Moderate."
"Friday","105","Retain",07:15:00,14:00:00,"Field Trip","Explore North Coast Birding","Birding","","Community Center","","Karen Clarke ","Gale Kordowski","","","Yes",$20.00,"No","Personal Vehicle",15,"SOLID","Yes","ENCB1","Visit spots along the rugged North Coast with Karen Clarke and Gale Kordowski to look for Surfbirds, turnstones, Snowy Plovers, scoters, mergansers, loons, grebes, gulls and more. Also expect to see a variety of raptors, including Peregrine Falcons, Golden Eagles, Ferruginous Hawks and Burrowing Owls. Stop for a private lunch in Cambria at a "quaint" seafood restaurant (cost included in trip) before driving back to Morro Bay. 60 miles round trip by personal vehicle. Moderate. Same as event #208."
"Friday","106","Retain",07:30:00,12:00:00,"Field Trip","Birding Multiple Habitats","Nature","B,Y","Community Center","","Phil Adams","Carole Adams","","","No",,"No","Personal Vehicle",15,"SOLID","Yes","VMH1","Observe the different birds found at San Simeon State Park by the creek, wetlands, shoreline, chaparral and pine forest habitats with State Parks Docents Phil and Carole Adams. Expect a variety of land birds including Pygmy Nuthatches. 50 miles round trip by personal vehicle. Moderate. Same as event #402."
"Friday","107","Retain",07:30:00,12:00:00,"Field Trip","Harmony Headlands","Birding","B,Y","Community Center","","Steve Griffith","","","","No",,"No","Personal Vehicle",15,"SOLID","No","","Join leader Steve Griffith for a 3-4 mile beginner-to-intermediate walk from Highway 1 west to the exposed rocky coastline north of Point Estero. Habitat ranges from grasslands to freshwater pond/wetland to rocky shoreline. Expect waterfowl, herons, egrets, raptors, shorebirds, gulls and sparrows. Rain cancels. 24 miles round trip by personal vehicle. Moderate."
"Friday","108","Retain",07:30:00,15:00:00,"Field Trip","Oso Flaco Lake-Oceano Area ","Birding","","Community Center","","Paul Keller","","","","Yes",$60.00,"Yes","Van",12,"SOLID","Yes","OFLA1?","Bird with Paul Keller. Enjoy close views of waterfowl, and occasional bitterns and rails from the boardwalk over the lake and marsh. Bird two prime willow habitats for wintering warblers. Includes 2-3 miles of slow walking. Travel with leader in van. Bring lunch. Moderate."
"Friday","109","Retain",07:45:00,12:00:00,"Field Trip","Birding Montaña de Oro for Beginners","Birding","B,Y","Community Center","","Claudia Freitas","Bob Revel","","","No",,"No","Personal Vehicle",15,"SOLID","No","","Bird with Claudia Freitas and Bob Revel, State Parks Docents, in a rugged coastal park with spectacular shorelines and canyons. Take a gentle walk through a variety of habitats, including coastal scrublands and pine-studded campgrounds. Follow Islay Creek to its outlet to the sea observing possible passerines, raptors and shorebirds. Includes 1-2 miles of easy walking. 20 miles round-trip by personal vehicle. Easy."
"Friday","110","Retain",07:45:00,14:00:00,"Field Trip","Las Cruzitas Ranch, Santa Ynez","Birding","B,W","Buellton","","Cruz Phillips","Pete Dullea","Cher Hollingworth","","No",,"No","Personal Vehicle",20,"SOLID","Yes","LCR1","Designed for those driving to the Festival from the south. Meet at Albertson’s parking lot in Buellton, CA (Hwy 246 east exit from 101). This is 75 miles south of Morro Bay! Leader will have list of registered participants; you may check in at the Festival after this event. Meet Cher Hollingworth (cell 805-588-0252) in Buellton and travel by personal vehicle to Las Cruzitas, a private 1,500-acre cattle ranch including oak grassland and sage-covered canyons. You will be met by Cruz Phillips, the ranch owner, who will lead the trip. Expect to see Yellow-billed Magpies, Vesper and Lark Sparrows, Band-tailed Pigeons, Red-breasted Sapsuckers, Golden Eagles, and possibly Burrowing Owls, Prairie Falcons, Phainopeplas, Red-naped Sapsuckers and Lewis' Woodpeckers. At least 30 species are seen from the ranch house bird feeders alone, so folks who cannot walk far can sit in the yard and have a great time birding. Bring lunch. Easy. Same as event #409."
"Friday","111","Retain",07:45:00,16:00:00,"Field Trip","Santa Margarita Lake Big Day ","Birding","","Community Center","","Jan Surbey","Chuck Woodard","","","Yes",,"No","Personal Vehicle",15,"SOLID","No","","Join Park Ranger Chuck Woodard and Jan Surbey for an all-day birding extravaganza! A walk along the lakeshore searching for waterfowl and oak woodland species in the morning will be followed by a walk along the Salinas River before it flows into the lake. Bring snacks, water and a picnic lunch. Up to 4 miles of walking. Suitable for all experience levels. 70-90 miles round trip by personal vehicle. Moderate."
"Friday","112","Retain",08:00:00,12:00:00,"Field Trip","Photographic Hot Spots With Birds ","Birding","","Community Center","","Don Quintana","Jerry Kirkhart","","","No",,"No","Personal Vehicle",12,"SOLID","No","","Bring a camera (a point-and-shoot with telephoto capabilities, or a DSLR with 300-mm-plus capability), and a tripod if possible, along with binoculars (spotting scope optional) to photograph and observe local scenic hot spots for birds. You'll travel with Jerry Kirkhart and Don Quintana, who will offer tips on capturing images of birds. You'll visit some uniquely beautiful locations around the bay, then end at Sweet Springs Nature Preserve. Photo opportunities abound. See Jerry's photography at www.flickr.com/photos/jkirkhart35 (birds set or birds in flight set) and Don’s at www.donaldquintana.com and www.flickr.com/photos/donaldquintana/. Travel by personal vehicle. Easy."
