Day,Trip,StartTime,EndTime,Codes,TypeOfEvent,Event
"Friday","101","6:45 AM","2:30 PM","","Birding","Casual | Little Big Day "
"Friday","102","6:45 AM","4:00 PM","","Birding","Big Day "
"Friday","104","7:00 AM","12:00 PM","","Birding","Hiking Half Day in Morro Bay State Park "
"Friday","105","7:15 AM","2:00 PM","","Birding","Explore North Coast Birding"
"Friday","106","7:30 AM","12:00 PM","B,Y","Nature","Birding Multiple Habitats"
"Friday","107","7:30 AM","12:00 PM","B,Y","Birding","Harmony Headlands"
"Friday","108","7:30 AM","3:00 PM","","Birding","Oso Flaco Lake-Oceano Area "
"Friday","109","7:45 AM","12:00 PM","B,Y","Birding","Birding Montaña de Oro for Beginners"
"Friday","110","7:45 AM","2:00 PM","B,W","Birding","Las Cruzitas Ranch, Santa Ynez"
"Friday","111","7:45 AM","4:00 PM","","Birding","Santa Margarita Lake Big Day "
"Friday","112","8:00 AM","12:00 PM","","Birding","Photographic Hot Spots With Birds "
"Friday","113","8:15 AM","12:00 PM","B,Y","Birding","Bay Shore to Salt Marsh Walk"
"Friday","114","8:30 AM","11:00 AM","B,W,Y","Birding","Basics of Bird ID"
"Friday","115","8:30 AM","12:00 PM","","Birding","South Morro Bay Shoreline"
"Friday","116","9:00 AM","10:45 AM","B","Birding","Bay Birding Photo Cruise "
"Friday","117","9:00 AM","12:00 PM","","Birding","Birding Around Morro Bay"
"Friday","118","9:00 AM","12:00 PM","B,Y","Birding","Kayaking "
"Friday","119","10:00 AM","11:30 AM","B,Y","Nature","View Morro Bay Estuary from Black Hill"
"Friday","120","10:00 AM","11:45 AM","B,Y","Nature","Morro Bay Up Close"
"Friday","121","10:00 AM","12:00 PM","B,Y","Nature","Birding and Technology"
"Friday","122","10:00 AM","12:00 PM","W","Birding","Morro Bay Marina Limited Mobility"
"Friday","123","10:00 AM","12:00 PM","B,Y","Nature","Visit an Oyster Farm on Morro Bay Estuary"
"Friday","124","12:30 PM","2:00 PM","B,W,Y","Birding","Condor Recovery Program/Hi Mountain Lookout Project"
"Friday","125","1:00 PM","2:30 PM","B,Y","Birding","Snowy Plovers in the Field"
"Friday","126","1:00 PM","3:00 PM","B,Y","Birding","Basics of Bird ID in the Field"
"Friday","127","1:00 PM","3:00 PM","B,W","Birding","Delving into the Mysteries of Sparrow Identification and Natural History"
"Friday","128","1:00 PM","3:00 PM","B,Y","Nature","Marine Protected Area"
"Friday","129","1:00 PM","4:00 PM","B,Y","Birding","Birding by Careful Observation"
"Friday","130","1:30 PM","2:30 PM","B,Y","Nature","Pacific Wildlife Care Tour"
"Friday","131","1:30 PM","3:30 PM","B","Nature","Gardening to Attract Birds"
"Friday","132","1:30 PM","4:30 PM","","Birding","Bird Sounds Workshop"
"Friday","133","2:00 PM","3:00 PM","B","Birding","Owling Workshop"
"Friday","134","2:00 PM","3:00 PM","B","Nature","Protecting Place - Land Trusts"
"Friday","135","2:00 PM","3:45 PM","","Birding","Birding Up Close"
"Friday","136","2:00 PM","4:00 PM","B,Y","Birding","Birds of Sea and Land at Morro Rock"
"Friday","137","2:30 PM","5:00 PM","B,W,Y","Birding","The Peregrine Falcons of Morro Rock"
"Friday","138","3:00 PM","4:30 PM","B,W,Y","Nature","Feeding Frenzy"
"Friday","139","3:00 PM","4:45 PM","B,Y","Birding","Bay Birding Cruise "
"Friday","140","3:00 PM","5:00 PM","W","Birding","Gulls of San Luis Obispo County "
"Friday","141","3:30 PM","4:30 PM","B,W","Nature","About the Morro Bay Estuary Program"
"Friday","142","3:30 PM","9:00 PM","","Birding","Owling Field Trip"
"Friday","143","5:00 PM","6:30 PM","B,W","Birding","Festival Opening Reception"
"Saturday","201","6:30 AM","5:00 PM","","Birding","Condor Country "
"Saturday","202","7:00 AM","10:00 AM","","Birding","Bird Banding in Morro Bay"
"Saturday","203","7:00 AM","12:00 PM","B","Birding","Bird the Oceano Lagoon"
"Saturday","204","7:00 AM","2:00 PM","B,Y","Nature","Point Buchon Ecology Field Trip"
"Saturday","205","7:00 AM","4:00 PM","","Birding","Big Day "
"Saturday","206","7:00 AM","4:00 PM","","Birding","Big Pelagic: Birds & Whales"
"Saturday","207","7:15 AM","12:00 PM","B,W","Nature","San Luis Creek Mouth and Cal Poly Pier"
"Saturday","208","7:15 AM","2:00 PM","","Birding","Explore North Coast Birding"
"Saturday","209","7:15 AM","4:00 PM","","Birding","Hiking Big Day"
"Saturday","210","7:30 AM","11:30 AM","","Birding","Birds Sounds Field Study"
"Saturday","211","7:30 AM","11:30 AM","B","Birding","Delving into the Mysteries of Sparrow Identification and Natural History - Field Trip"
"Saturday","212","7:30 AM","12:00 PM","B,Y","Birding","Estero Bluffs for New Birders"
"Saturday","213","7:30 AM","12:00 PM","B,Y","Birding","Montaña de Oro Campground, Cove & Bluffs"
"Saturday","214","7:45 AM","12:00 PM","B,Y","Birding","Raptors of Sunshine Ranch "
"Saturday","215","8:00 AM","10:00 AM","","Birding","PhoneScoping"
"Saturday","216","8:00 AM","10:30 AM","","Birding","Gulls of San Luis Obispo County Field Study"
"Saturday","217","8:00 AM","11:00 AM","B,Y","Birding","Kayaking"
"Saturday","218","8:00 AM","12:00 PM","","Birding","Birding Fiscalini Ranch"
"Saturday","219","8:00 AM","12:00 PM","","Birding","Morro Strand Shorebird Stroll"
"Saturday","220","8:15 AM","12:00 PM","","Birding","Estero Bluffs for Intermediates"
"Saturday","221","8:15 AM","12:00 PM","","Birding","Songbirds in the Pines "
"Saturday","222","8:30 AM","11:30 AM","B,Y","Nature","Coastal Cove, Bluff and Tidepool Ecology"
"Saturday","223","8:30 AM","12:00 PM","B,Y","Nature","A Morning with the Monarchs"
"Saturday","224","8:30 AM","12:00 PM","B,Y","Birding","Bird El Chorro Regional Park"
"Saturday","225","8:30 AM","12:00 PM","B,Y","Birding","Explore Elfin Forest & Sweet Springs"
"Saturday","226","9:00 AM","10:45 AM","B","Birding","Bay Birding Photo Cruise "
"Saturday","227","9:00 AM","12:00 PM","B,Y","Birding","Kayaking"
"Saturday","228","10:00 AM","11:45 AM","B,Y","Nature","Morro Bay Up Close"
