Site,Day,StartTime,Duration,Event,SiteRoom
"Community Center","Friday","6:45 AM"," 7 Hour(s) 45 Min","Casual Little Big Day",""
"Community Center","Friday","6:45 AM"," 9 Hour(s) 15 Min","Big Day",""
"Community Center","Friday","7:15 AM"," 2 Hour(s) 45 Min","Bird Banding in Morro Bay",""
"Community Center","Friday","7:15 AM"," 6 Hour(s) 45 Min","Explore North Coast Birding",""
"Community Center","Friday","7:30 AM"," 4 Hour(s) 30 Min","Harmony Headlands",""
"Community Center","Friday","7:30 AM"," 4 Hour(s) 30 Min","Birding Multiple Habitats",""
"Community Center","Friday","7:30 AM"," 7 Hour(s) 30 Min","Oso Flaco Lake-Oceano Area",""
"Community Center","Friday","7:45 AM"," 4 Hour(s) 15 Min","Birding Montana de Oro for Beginners",""
"Community Center","Friday","7:45 AM"," 8 Hour(s) 15 Min","Santa Margarita Lake Big Day",""
"Community Center","Friday","8:00 AM"," 4 Hour(s)","Photographic Hot Spots With Birds",""
"Community Center","Friday","8:15 AM"," 3 Hour(s) 45 Min","Bay Shore to Salt Marsh Walk",""
"Community Center","Friday","8:30 AM"," 3 Hour(s) 30 Min","South Morro Bay Shoreline",""
"Community Center","Friday","9:00 AM"," 3 Hour(s)","Birding Around Morro Bay",""
"Community Center","Friday","10:00 AM"," 1 Hour(s) 30 Min","View Morro Bay Estuary from Black Hill",""
"Community Center","Friday","10:00 AM"," 1 Hour(s) 45 Min","Morro Bay Up Close",""
"Community Center","Friday","10:00 AM"," 2 Hour(s)","Birding and Technology","Lounge"
"Community Center","Friday","12:30 PM"," 1 Hour(s) 30 Min","Condor Recovery Program/Hi Mountain Lookout Project",""
"Community Center","Friday","1:00 PM"," 1 Hour(s) 30 Min","Snowy Plovers in the Field",""
"Community Center","Friday","1:00 PM"," 2 Hour(s)","Basics of Bird ID in the Field",""
"Community Center","Friday","1:00 PM"," 2 Hour(s)","Delving into the Mysteries of Sparrow Identification and Natural History",""
"Community Center","Friday","1:00 PM"," 2 Hour(s)","Marine Protected Area","Multipurpose Room"
"Community Center","Friday","1:00 PM"," 3 Hour(s)","Birding by Careful Observation",""
"Community Center","Friday","1:30 PM"," 1 Hour(s)","Pacific Wildlife Care Tour",""
"Community Center","Friday","1:30 PM"," 2 Hour(s)","Gardening to Attract Birds",""
"Community Center","Friday","2:00 PM"," 1 Hour(s)","Owling Workshop",""
"Community Center","Friday","2:00 PM"," 1 Hour(s)","Protecting Place - Land Trusts","Lounge"
"Community Center","Friday","2:00 PM"," 1 Hour(s) 45 Min","Birding Up Close",""
"Community Center","Friday","2:00 PM"," 2 Hour(s)","Birds of Sea and Land at Morro Rock",""
"Community Center","Friday","3:00 PM"," 2 Hour(s)","Gulls of San Luis Obispo County","Multipurpose Room"
"Community Center","Friday","3:30 PM"," 1 Hour(s)","About the Morro Bay Estuary Program","Lounge"
"Community Center","Friday","3:30 PM"," 5 Hour(s) 30 Min","Owling Field Trip",""
