Track|Trip#|Day|Start|End|TimeSpan|Site|MaxAtt|CODE|FEE|Event|Leaders|Program
Birding|101|Friday|2017-01-13 06:45|2017-01-13 14:30|6:45 AM-2:30 PM|"Community Center"|14|""|$60.00|"Casual  Little Big Day "|"Maggie Smith, Herb Elliott, dave klinzman"|"Join  Maggie Smith and Herb Elliott for a tour of many local birding hot spots. Expect nearly 100 species, including specialties and rarities, with time to discuss the birds and savor them a bit. Travel with leader in van. Bring lunch. Easy but many in/out of van stops. Same as event #301."
Birding|102|Friday|2017-01-13 06:45|2017-01-13 16:00|6:45 AM-4:00 PM|"Community Center"|20|""|$70.00|"Big Day "|"Ron Melcer, Karl Frank"|"See loons to sparrows with Ron Melcer and Karl Frank on this full day of birding the area. Pace to be determined by the leader based on the desires of the group, but expect a rather fast-paced day, seeing over 100 species including specialties and rarities. Travel with leader in van. Bring lunch. Easy but many in/out of van stops. Same as event #205."
Birding|103|Friday|2017-01-13 07:00|2017-01-13 10:00|7:00 AM-10:00 AM|"Community Center"|10|""||"Bird Banding in Morro Bay"|"Jodi Isaacs"|"Observe mist-netted passerines in Morro Bay State Park with Jodi Isaacs, Environmental Scientist for California State Parks. Discuss identification, analysis and bird-banding data collection techniques. Probable species captured include sparrows (maybe a ï¿½large-billedï¿½ Savannah Sparrow) and Yellow-rumped Warblers. Rain cancels. 5 miles round trip by personal vehicle. Easy. Same as event #202."
Birding|104|Friday|2017-01-13 07:00|2017-01-13 12:00|7:00 AM-12:00 PM|"State Park Marina"|12|""||"Hiking Half Day in Morro Bay State Park "|"Mike Stiles"|"Take a walking tour of the area around the Morro Bay Museum. Walk about 2.5 miles with Mike Stiles and cover a variety of habitats. You'll view shorebirds around the marina and the edges of Morro Bay and scope waterfowl on the bay. You will visit the Morro Bay State Park Campground, the golf course and the Heron Rookery. Walking will be slow-paced with many stops on mostly level terrain. Expect good numbers of our local specialties. Meet at the State Park Marina near the Bayside Café. Bring a day pack, snacks and water; wear layered clothing and comfortable walking shoes. Moderate."
Birding|105|Friday|2017-01-13 07:15|2017-01-13 14:00|7:15 AM-2:00 PM|"Community Center"|15|""|$20.00|"Explore North Coast Birding"|"Karen Clarke , Gale Kordowski"|"Visit spots along the rugged North Coast with Karen Clarke and Gale Kordowski to look for Surfbirds, turnstones, Snowy Plovers, scoters, mergansers, loons, grebes, gulls and more. Also expect to see a variety of raptors, including Peregrine Falcons, Golden Eagles, Ferruginous Hawks and Burrowing Owls. Stop for a private lunch in Cambria at a "quaint" seafood restaurant (cost included in trip) before driving back to Morro Bay. 60 miles round trip by personal vehicle. Moderate. Same as event #208."
Nature|106|Friday|2017-01-13 07:30|2017-01-13 12:00|7:30 AM-12:00 PM|"Community Center"|15|"B,Y"||"Birding Multiple Habitats"|"Phil Adams, Carole Adams"|"Observe the different birds found at San Simeon State Park by the creek, wetlands, shoreline, chaparral and pine forest habitats with State Parks Docents Phil and Carole Adams. Expect a variety of land birds including Pygmy Nuthatches. 50 miles round trip by personal vehicle. Moderate. Same as event #402."
Birding|107|Friday|2017-01-13 07:30|2017-01-13 12:00|7:30 AM-12:00 PM|"Community Center"|15|"B,Y"||"Harmony Headlands"|"Steve Griffith"|"Join leader Steve Griffith for a 3-4 mile beginner-to-intermediate walk from Highway 1 west to the exposed rocky coastline north of Point Estero. Habitat ranges from grasslands to freshwater pond/wetland to rocky shoreline. Expect waterfowl, herons, egrets, raptors, shorebirds, gulls and sparrows. Rain cancels. 24 miles round trip by personal vehicle. Moderate."
Birding|108|Friday|2017-01-13 07:30|2017-01-13 15:00|7:30 AM-3:00 PM|"Community Center"|12|""|$60.00|"Oso Flaco Lake-Oceano Area "|"Paul Keller"|"Bird with Paul Keller. Enjoy close views of waterfowl, and occasional bitterns and rails from the boardwalk over the lake and marsh. Bird two prime willow habitats for wintering warblers. Includes 2-3 miles of slow walking. Travel with leader in van. Bring lunch. Moderate."
Birding|109|Friday|2017-01-13 07:45|2017-01-13 12:00|7:45 AM-12:00 PM|"Community Center"|15|"B,Y"||"Birding Montaña de Oro for Beginners"|"Claudia Freitas, Bob Revel"|"Bird with Claudia Freitas and Bob Revel, State Parks Docents, in a rugged coastal park with spectacular shorelines and canyons. Take a gentle walk through a variety of habitats, including coastal scrublands and pine-studded campgrounds. Follow Islay Creek to its outlet to the sea observing possible passerines, raptors and shorebirds. Includes 1-2 miles of easy walking. 20 miles round-trip by personal vehicle. Easy."
Birding|110|Friday|2017-01-13 07:45|2017-01-13 14:00|7:45 AM-2:00 PM|"Buellton"|20|"B,W"||"Las Cruzitas Ranch, Santa Ynez"|"Cruz Phillips, Pete Dullea, Cher Hollingworth"|"Designed for those driving to the Festival from the south. Meet at Albertson’s parking lot in Buellton, CA (Hwy 246 east exit from 101). This is 75 miles south of Morro Bay! Leader will have list of registered participants; you may check in at the Festival after this event. Meet Cher Hollingworth (cell 805-588-0252) in Buellton and travel by personal vehicle to Las Cruzitas, a private 1,500-acre cattle ranch including oak grassland and sage-covered canyons. You will be met by Cruz Phillips, the ranch owner, who will lead the trip. Expect to see Yellow-billed Magpies, Vesper and Lark Sparrows, Band-tailed Pigeons, Red-breasted Sapsuckers, Golden Eagles, and possibly Burrowing Owls, Prairie Falcons, Phainopeplas, Red-naped Sapsuckers and Lewis' Woodpeckers. At least 30 species are seen from the ranch house bird feeders alone, so folks who cannot walk far can sit in the yard and have a great time birding. Bring lunch. Easy. Same as event #409."
Birding|111|Friday|2017-01-13 07:45|2017-01-13 16:00|7:45 AM-4:00 PM|"Community Center"|15|""||"Santa Margarita Lake Big Day "|"Jan Surbey, Chuck Woodard"|"Join Park Ranger Chuck Woodard and Jan Surbey for an all-day birding extravaganza! A walk along the lakeshore searching for waterfowl and oak woodland species in the morning will be followed by a walk along the Salinas River before it flows into the lake. Bring snacks, water and a picnic lunch. Up to 4 miles of walking. Suitable for all experience levels. 70-90 miles round trip by personal vehicle. Moderate."
Birding|112|Friday|2017-01-13 08:00|2017-01-13 12:00|8:00 AM-12:00 PM|"Community Center"|12|""||"Photographic Hot Spots With Birds "|"Don Quintana, Jerry Kirkhart"|"Bring a camera (a point-and-shoot with telephoto capabilities, or a DSLR with 300-mm-plus capability), and a tripod if possible, along with binoculars (spotting scope optional) to photograph and observe local scenic hot spots for birds. You'll travel with Jerry Kirkhart and Don Quintana, who will offer tips on capturing images of birds. You'll visit some uniquely beautiful locations around the bay, then end at Sweet Springs Nature Preserve. Photo opportunities abound. See Jerry's photography at www.flickr.com/photos/jkirkhart35 (birds set or birds in flight set) and Don’s at www.donaldquintana.com and www.flickr.com/photos/donaldquintana/. Travel by personal vehicle. Easy."
Birding|113|Friday|2017-01-13 08:15|2017-01-13 12:00|8:15 AM-12:00 PM|"Community Center"|15|"B,Y"||"Bay Shore to Salt Marsh Walk"|"Rouvaishyana , Randy Bello, Louise Bello"|"Travel by personal vehicle from the Community Center to Bayshore Bluffs Park, a small city park. From there walk past the Inn at Morro Bay, the Heron Rookery, a mudflat shore, the Museum and into the salt marsh. Walking along the edge of the bay, you will pass a variety of habitats for viewing many different species of birds; expect a few dozen. For those who wish, you have the option of an informal no-host post-walk lunch at the Bayside Café. Leaders: Rouvaishyana, Museum of Natural History Manager; Randy Bello, State Parks Docent; and Louise Bello, State Parks Volunteer. Moderate pace; distance about 4 miles round trip. Walk back to cars at your own pace afterward. Moderate."
Birding|114|Friday|2017-01-13 08:30|2017-01-13 11:00|8:30 AM-11:00 AM|"St. Timothy's"|50|"B,W,Y"||"Basics of Bird ID"|"Bill Bouton"|"Join experienced birder Bill Bouton for this entertaining and informative workshop for new birders. Using many projected images, Bill will share aspects of bird observation for the purpose of determining identification that you may not find in field guides. He will also give you tips on choosing binoculars, field guides and other equipment. This workshop is a prerequisite before participation in an afternoon field experience, event #126, for which you must register separately."
Birding|115|Friday|2017-01-13 08:30|2017-01-13 12:00|8:30 AM-12:00 PM|"Community Center"|15|""||"South Morro Bay Shoreline"|"Jay Carroll "|"Join leader Jay Carroll for a flat 2-3 mile walk birding the diverse shoreline habitats of the Back Bay, including Sweet Springs Nature Preserve, Cuesta Inlet and Pecho Willows. Expect a variety of shorebirds, waterfowl, raptors and passerines. 12 miles round trip by personal vehicle. Moderate. Same as event #324."
Birding|116|Friday|2017-01-13 09:00|2017-01-13 10:45|9:00 AM-10:45 AM|"Embarcadero"|18|"B"|$30.00|"Bay Birding Photo Cruise "|"Dave Keeling"|"Join local expert photographer Dave Keeling aboard a 34-foot power catamaran and cruise around the ever beautiful estuary. Dave will attempt to spot and help identify birds that are seen. Not all of them are cooperative, but there are always some good photo-ops. Dress warmly. No tripods. Meet at Sub Sea Tours at Marina Square, 699 Embarcadero #9. Easy. Children 12 and under must be accompanied by an adult. Same as events #226 & #326."
Birding|117|Friday|2017-01-13 09:00|2017-01-13 12:00|9:00 AM-12:00 PM|"Community Center"|15|""||"Birding Around Morro Bay"|"Marlin Harms , Dennis Sheridan"|"Bird with Marlin Harms and Dennis Sheridan to visit the best birding spots around the estuary, including Morro Rock, the bay, the marina and more. Look for shorebirds, water birds and land birds. 15 miles round trip by personal vehicle. Moderate."
Birding|118|Friday|2017-01-13 09:00|2017-01-13 12:00|9:00 AM-12:00 PM|"State Park Marina"|12|"B,Y"|$45.00|"Kayaking "|"John Flaherty, Virginia Flaherty"|"Go out on a kayak tour of Morro Bay with John and Virginia Flaherty and guides at Central Coast Outdoors. Get an opportunity for an up-close view of White Pelicans, Brant, Common Loons and a host of other migratory waterfowl and shorebirds in their natural habitat. Visit the Heron Rookery, Grassy Island, mudflats and channels of the Back Bay. We will use double kayaks; no prior kayaking experience needed. Dress in layers with the following guidelines: synthetics or wool, no cotton, windbreaker jacket, hat for sun and wind protection, and shoes that can get wet. Weather conditions may cancel. Meet at the State Park Marina on State Park Road near the Bayside Café. Minimum age is 8 and children 12 years and under must be accompanied by an adult. Same as events #217, #227, #330 & #406."
